Author: SK
Difficulty: 1
Date:02-06-202222:15:33.195270 (227, 236)
22:15:33.282108 (227, 236)
22:15:33.290103 (231, 234)
22:15:33.298097 (235, 231)
22:15:33.305956 (239, 229)
22:15:33.314952 (243, 225)
22:15:33.321946 (248, 222)
22:15:33.329941 (251, 218)
22:15:33.337935 (254, 213)
22:15:33.345933 (257, 210)
22:15:33.353926 (259, 205)
22:15:33.361922 (260, 201)
22:15:33.370917 (261, 197)
22:15:33.377911 (261, 194)
22:15:33.385908 (261, 190)
22:15:33.393901 (261, 185)
22:15:33.401896 (260, 180)
22:15:33.410893 (258, 175)
22:15:33.417806 (256, 170)
22:15:33.426804 (252, 164)
22:15:33.433800 (248, 160)
22:15:33.441799 (242, 154)
22:15:33.449789 (237, 151)
22:15:33.458226 (231, 149)
22:15:33.466224 (224, 146)
22:15:33.474219 (216, 142)
22:15:33.482214 (206, 142)
22:15:33.490211 (196, 142)
22:15:33.498293 (184, 142)
22:15:33.506296 (172, 145)
22:15:33.514284 (161, 148)
22:15:33.522279 (152, 153)
22:15:33.530274 (145, 158)
22:15:33.538269 (140, 160)
22:15:33.546265 (136, 165)
22:15:33.554259 (132, 172)
22:15:33.562254 (130, 181)
22:15:33.570612 (128, 189)
22:15:33.577611 (128, 201)
22:15:33.586606 (128, 212)
22:15:33.594601 (129, 224)
22:15:33.602595 (134, 235)
22:15:33.610591 (141, 247)
22:15:33.618587 (147, 257)
22:15:33.626583 (154, 270)
22:15:33.634577 (163, 280)
22:15:33.642706 (171, 291)
22:15:33.650593 (180, 303)
22:15:33.658587 (190, 313)
22:15:33.666582 (201, 327)
22:15:33.674578 (216, 344)
22:15:33.681967 (231, 364)
22:15:33.690967 (245, 381)
22:15:33.697963 (257, 396)
22:15:33.705957 (263, 405)
22:15:33.713951 (267, 411)
22:15:33.721961 (270, 419)
22:15:33.729956 (272, 423)
22:15:33.737952 (272, 427)
22:15:33.746813 (272, 428)
22:15:33.753808 (272, 430)
22:15:33.762229 (272, 431)
22:15:33.770224 (272, 432)
22:15:33.778218 (270, 434)
22:15:33.786216 (268, 435)
22:15:33.794209 (264, 436)
22:15:33.802204 (257, 438)
22:15:33.810199 (249, 440)
22:15:33.818195 (240, 441)
22:15:33.826190 (228, 442)
22:15:33.834186 (217, 444)
22:15:33.842216 (204, 444)
22:15:33.850009 (185, 444)
22:15:33.858004 (166, 444)
22:15:33.865998 (150, 444)
22:15:33.873993 (137, 444)
22:15:33.881989 (125, 444)
22:15:33.890984 (114, 444)
22:15:33.897979 (107, 444)
22:15:33.905973 (100, 444)
22:15:33.914972 (96, 442)
22:15:33.921950 (92, 439)
22:15:33.929945 (91, 438)
22:15:33.937940 (90, 438)
22:15:33.953931 (88, 436)
22:15:33.969964 (86, 434)
22:15:33.978957 (85, 432)
22:15:33.986053 (84, 431)
22:15:33.994320 (83, 431)
22:15:34.002219 (82, 430)
22:15:34.010038 (82, 429)
