Author: SK
Difficulty: 1
Date:02-06-202222:18:29.121643 (210, 192)
22:18:29.209079 (210, 192)
22:18:29.217076 (215, 187)
22:18:29.225069 (218, 182)
22:18:29.233064 (221, 178)
22:18:29.241061 (224, 174)
22:18:29.249056 (226, 170)
22:18:29.257051 (227, 166)
22:18:29.265049 (229, 162)
22:18:29.273041 (230, 159)
22:18:29.281034 (231, 156)
22:18:29.289031 (231, 152)
22:18:29.297025 (231, 149)
22:18:29.305025 (231, 147)
22:18:29.313018 (231, 144)
22:18:29.321013 (231, 142)
22:18:29.329013 (230, 140)
22:18:29.338003 (228, 137)
22:18:29.344995 (226, 134)
22:18:29.353995 (225, 132)
22:18:29.360988 (221, 130)
22:18:29.368983 (217, 127)
22:18:29.376977 (213, 124)
22:18:29.384976 (209, 121)
22:18:29.392968 (204, 119)
22:18:29.400962 (199, 117)
22:18:29.408959 (196, 117)
22:18:29.416951 (192, 117)
22:18:29.424948 (188, 116)
22:18:29.432941 (186, 116)
22:18:29.440940 (183, 116)
22:18:29.448939 (179, 119)
22:18:29.456930 (175, 123)
22:18:29.464923 (170, 127)
22:18:29.472919 (165, 131)
22:18:29.480913 (160, 137)
22:18:29.488911 (154, 142)
22:18:29.496903 (149, 147)
22:18:29.504900 (144, 153)
22:18:29.514894 (140, 159)
22:18:29.521891 (136, 164)
22:18:29.528885 (134, 167)
22:18:29.537880 (133, 170)
22:18:29.544875 (133, 171)
22:18:29.552869 (133, 173)
22:18:29.560863 (133, 175)
22:18:29.569863 (133, 179)
22:18:29.576856 (133, 184)
22:18:29.584850 (136, 190)
22:18:29.592843 (137, 198)
22:18:29.600843 (141, 204)
22:18:29.608835 (144, 212)
22:18:29.616833 (148, 220)
22:18:29.625826 (153, 227)
22:18:29.632821 (160, 235)
22:18:29.640815 (165, 241)
22:18:29.649812 (171, 246)
22:18:29.656812 (178, 252)
22:18:29.665803 (184, 258)
22:18:29.672795 (191, 264)
22:18:29.680790 (197, 270)
22:18:29.689787 (203, 276)
22:18:29.696787 (209, 284)
22:18:29.704778 (213, 291)
22:18:29.712770 (217, 296)
22:18:29.720766 (220, 303)
22:18:29.728762 (224, 312)
22:18:29.737757 (227, 321)
22:18:29.744750 (228, 329)
22:18:29.753747 (229, 336)
22:18:29.762743 (229, 343)
22:18:29.769741 (229, 351)
22:18:29.776732 (228, 360)
22:18:29.784730 (225, 367)
22:18:29.792726 (222, 373)
22:18:29.800717 (217, 381)
22:18:29.808711 (213, 388)
22:18:29.816705 (208, 395)
22:18:29.824707 (201, 403)
22:18:29.832695 (191, 408)
22:18:29.841693 (183, 415)
22:18:29.849689 (175, 419)
22:18:29.857681 (168, 422)
22:18:29.865677 (158, 423)
22:18:29.872671 (149, 423)
22:18:29.880666 (138, 422)
22:18:29.889664 (128, 417)
22:18:29.896657 (117, 411)
22:18:29.905653 (109, 405)
22:18:29.912653 (99, 399)
22:18:29.920645 (91, 393)
22:18:29.928637 (84, 388)
22:18:29.937633 (79, 384)
22:18:29.944627 (75, 381)
22:18:29.953622 (72, 377)
